id,name,party,district,website,email,twitter,party_id,image,identifier__represent
,Dennis Bevington,NDP,Northwest Territories,http://www.dennisbevington.ca,dennis.bevington@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BevingtonDennisFraser_NDP.jpg,30836
,Laurin Liu,NDP,Rivière-des-Mille-Îles,,Laurin.Liu@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LiuLaurin_NDP.jpg,71517
,Ted Hsu,Liberal,Kingston and the Islands,http://www.tedhsu.ca,Ted.Hsu@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HsuTed_Lib.jpg,71660
,Bob Dechert,Conservative,Mississauga—Erindale,http://bobdechertmp.ca,bob.dechert@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DechertBob_CPC.jpg,31086
,John Barlow,Conservative,Macleod,http://www.johnbarlowmp.ca,John.Barlow@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BarlowJohn_CPC.jpg,86261
,James Moore,Conservative,Port Moody—Westwood—Port Coquitlam,http://www.jamesmoore.ca,james.moore@parl.gc.ca,https://twitter.com/JamesMoore_org,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MooreJames_CPC.jpg,1819
,Joe Daniel,Conservative,Don Valley East,http://www.joedaniel.ca,Joe.Daniel@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DanielJoe_CPC.jpg,71613
,Diane Ablonczy,Conservative,Calgary—Nose Hill,http://www.ablonczy.com,diane.ablonczy@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AblonczyDiane_CPC.jpg,1295
,Elizabeth May,Green Party,Saanich—Gulf Islands,http://www.elizabethmaymp.ca,Elizabeth.May@parl.gc.ca,,green_party,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MayElizabeth_GP.jpg,2897
,Tom Lukiwski,Conservative,Regina—Lumsden—Lake Centre,http://www.tomlukiwski.com,tom.lukiwski@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LukiwskiTom_CPC.jpg,25520
,Kyle Seeback,Conservative,Brampton West,http://www.kyleseeback.com,Kyle.Seeback@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SeebackKyle_CPC.jpg,58841
,Sean Casey,Liberal,Charlottetown,http://www.seancasey.ca,Sean.Casey@parl.gc.ca,https://twitter.com/SeanCaseyLPC,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CaseySean_Lib.jpg,71270
,Jonathan Tremblay,NDP,Montmorency—Charlevoix—Haute-Côte-Nord,,Jonathan.Tremblay@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/TremblayJonathan_NDP.jpg,58628
,Ray Boughen,Conservative,Palliser,http://www.rayboughen.ca,ray.boughen@parl.gc.ca,https://twitter.com/RayBoughenMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BoughenRay_CPC.jpg,59143
,Rob Moore,Conservative,Fundy Royal,http://www.robmooremp.com,rob.moore@parl.gc.ca,https://twitter.com/RobMoore_CPC,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MooreRob_CPC.jpg,17210
,Gerry Byrne,Liberal,Humber—St. Barbe—Baie Verte,http://www.gerrybyrne.ca,gerry.byrne@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ByrneGerry_Lib.jpg,13
,Chungsen Leung,Conservative,Willowdale,http://www.chungsenleung.ca,Chungsen.Leung@parl.gc.ca,https://twitter.com/csleungmp,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LeungChungsen_CPC.jpg,30503
,Claude Gravelle,NDP,Nickel Belt,http://claudegravelle.ca,claude.gravelle@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GravelleClaude_NDP.jpg,31234
,Andrew Scheer,Conservative,Regina—Qu'Appelle,http://www.andrewmp.ca,andrew.scheer@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ScheerAndrew_CPC.jpg,25454
,Marie-Claude Morin,NDP,Saint-Hyacinthe—Bagot,,Marie-Claude.Morin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MorinMarieClaude_NDP.jpg,71533
,Jim Hillyer,Conservative,Lethbridge,http://www.jimhillyer.com,Jim.Hillyer@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/HillyerJim_CPC.jpg,71945
,Greg Rickford,Conservative,Kenora,http://www.gregrickford.ca/?language_id=0,greg.rickford@parl.gc.ca,https://twitter.com/GregRickford,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RickfordGreg_CPC.jpg,58914
,Yvon Godin,NDP,Acadie—Bathurst,http://www.yvongodin.ca,yvon.godin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GodinYvon_NDP.jpg,103
,Royal Galipeau,Conservative,Ottawa—Orléans,http://www.royalgalipeau.ca/about,royal.galipeau@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GalipeauRoyal_CPC.jpg,35668
,Harold Albrecht,Conservative,Kitchener—Conestoga,http://www.haroldalbrechtmp.ca,harold.albrecht@parl.gc.ca,https://twitter.com/Albrecht4KitCon,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AlbrechtHarold_CPC.jpg,35607
,Christine Moore,NDP,Abitibi—Témiscamingue,,Christine.Moore@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MooreChristine_NDP.jpg,232
,John Williamson,Conservative,New Brunswick Southwest,http://johnwilliamsonmp.com,John.Williamson@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WilliamsonJohn_CPC.jpg,71323
,Steven Blaney,Conservative,Lévis—Bellechasse,,steven.blaney@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BlaneySteven_CPC.jpg,35389
,Manon Perreault,Independent,Montcalm,,Manon.Perreault@parl.gc.ca,,independent,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PerreaultManon_NDP.jpg,71471
,Sadia Groguhé,NDP,Saint-Lambert,,Sadia.Groguhe@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GroguheSadia_NDP.jpg,71538
,Réjean Genest,NDP,Shefford,,Rejean.Genest@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GenestRéjean_NDP.jpg,71549
,Linda Duncan,NDP,Edmonton—Strathcona,http://www.lindaduncanmp.ca,linda.duncan@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DuncanLindaFrancis_NDP.jpg,35873
,Maxime Bernier,Conservative,Beauce,,maxime.bernier@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BernierMaxime_CPC.jpg,35309
,Rodney Weston,Conservative,Saint John,http://www.rodneyweston.ca,rodney.weston@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WestonRodney_CPC.jpg,4255
,Wayne Marston,NDP,Hamilton East—Stoney Creek,http://www.waynemarston.ndp.ca,wayne.marston@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MarstonWayne_NDP.jpg,681
,Peter Stoffer,NDP,Sackville—Eastern Shore,http://peterstoffer.ndp.ca,peter.stoffer@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/StofferPeterArend_NDP.jpg,88
,Stella Ambler,Conservative,Mississauga South,http://www.stellaambler.com,Stella.Ambler@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AmblerStella_CPC.jpg,58833
,K. Kellie Leitch,Conservative,Simcoe—Grey,http://www.kellieleitchmp.com,Kellie.Leitch@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LeitchKellie_CPC.jpg,71786
,Matthew Dubé,NDP,Chambly—Borduas,,Matthew.Dube@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DubeMatthew_NDP.jpg,71368
,Robert Sopuck,Conservative,Dauphin—Swan River—Marquette,http://www.robertsopuck.ca,robert.sopuck@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SopuckRobert_CPC.jpg,69488
,François Lapointe,NDP,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,,Francois.Lapointe@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LapointeFrançois_CPC.jpg,63589
,Bal Gosal,Conservative,Bramalea—Gore—Malton,http://www.balgosal.com,Bal.Gosal@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GosalBal_CPC.jpg,35535
,Romeo Saganash,NDP,Abitibi—Baie-James—Nunavik—Eeyou,,Romeo.Saganash@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/SaganashRomeo_NDP.jpg,71482
,Jean-François Fortin,Forces et Démocratie,Haute-Gaspésie—La Mitis—Matane—Matapédia,,Jean-Francois.Fortin@parl.gc.ca,,forces_et_démocratie,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/FortinJeanFrançois_BQ.jpg,71465
,Jacques Gourde,Conservative,Lotbinière—Chutes-de-la-Chaudière,,jacques.gourde@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GourdeJacques_CPC.jpg,35397
,Barry Devolin,Conservative,Haliburton—Kawartha Lakes—Brock,http://www.barrydevolin.ca,barry.devolin@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DevolinBarry_CPC.jpg,25497
,Jean Crowder,NDP,Nanaimo—Cowichan,http://www.jeancrowder.ca,jean.crowder@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CrowderJean_NDP.jpg,25492
,Dave MacKenzie,Conservative,Oxford,http://www.davemackenzie.ca,dave.mackenzie@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MacKenzieDave_CPC.jpg,891
,Marc-André Morin,NDP,Laurentides—Labelle,,Marc-Andre.Morin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MorinMarcAndré_NDP.jpg,71430
,Dave Van Kesteren,Conservative,Chatham-Kent—Essex,http://www.davevankesteren.ca,dave.vankesteren@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/VanKesterenDavid_CPC.jpg,31765
,Lawrence MacAulay,Liberal,Cardigan,http://lawrencemacaulay.liberal.ca,lawrence.macaulay@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MacAulayLawrenceA_Lib.jpg,33
,Stéphane Dion,Liberal,Saint-Laurent—Cartierville,,stephane.dion@parl.gc.ca,,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DionStéphane_Lib.jpg,460
,Jamie Nicholls,NDP,Vaudreuil-Soulanges,,Jamie.Nicholls@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/NichollsJamie_NDP.jpg,71566
,Erin O'Toole,Conservative,Durham,http://www.erinotoolemp.ca,Erin.OToole@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/O'TooleErin_CPC.jpg,72773
,Kirsty Duncan,Liberal,Etobicoke North,http://kirstyduncan.liberal.ca,kirsty.duncan@parl.gc.ca,https://twitter.com/KirstyDuncanMP,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/DuncanKirsty_Lib.jpg,58877
,Murray Rankin,NDP,Victoria,http://www.murrayrankin.ca,Murray.Rankin@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MurrayRankin_NDP.jpg,60078
,James Rajotte,Conservative,Edmonton—Leduc,http://www.jamesrajottemp.ca,james.rajotte@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/RajotteJames_CPC.jpg,1826
,Malcolm Allen,NDP,Welland,http://malcolmallen.ndp.ca,malcolm.allen@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AllenMalcolm_NDP.jpg,59068
,Ève Péclet,NDP,La Pointe-de-l'Île,,Eve.Peclet@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/PécletÈve_NDP.jpg,71420
,Scott Reid,Conservative,Lanark—Frontenac—Lennox and Addington,http://www.scottreid.ca,scott.reid@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/ReidScott_CPC.jpg,1827
,Mike Wallace,Conservative,Burlington,http://www.mikewallacemp.ca,mike.wallace@parl.gc.ca,https://twitter.com/MikeWallaceMP,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/WallaceMike_CPC.jpg,31791
,Lois Brown,Conservative,Newmarket—Aurora,http://www.loisbrown.ca,lois.brown@parl.gc.ca,https://twitter.com/MPLoisBrown,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/BrownLois_CPC.jpg,35648
,Colin Carrie,Conservative,Oshawa,http://www.colincarriemp.ca,colin.carrie@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/CarrieColin_CPC.jpg,25486
,Randall Garrison,NDP,Esquimalt—Juan de Fuca,http://randallgarrison.ndp.ca,Randall.Garrison@parl.gc.ca,,ndp,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/GarrisonRandallC_NDP.jpg,71995
,Joyce Murray,Liberal,Vancouver Quadra,http://www.joycemurray.ca,joyce.murray@parl.gc.ca,https://twitter.com/joycemurray,liberal,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/MurrayJoyce_Lib.jpg,35950
,Ryan Leef,Conservative,Yukon,http://www.ryanleef.ca,Ryan.Leef@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/LeefRyan_CPC.jpg,72079
,Gerald Keddy,Conservative,South Shore—St. Margaret's,http://www.geraldkeddymp.ca,gerald.keddy@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/KeddyGerald_CPC.jpg,91
,Dan Albas,Conservative,Okanagan—Coquihalla,http://www.danalbas.com,Dan.Albas@parl.gc.ca,,conservative,http://www.parl.gc.ca/Parliamentarians/Images/OfficialMPPhotos/41/AlbasDan_CPC.jpg,72029
