name,wikiname,party,state,district,area,term,source,start_date,end_date,id
Richard Harris,Richard Harris (politician),Conservative,British Columbia,Cariboo—Prince George,British Columbia (Cariboo—Prince George),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,richard-harris
Mark Strahl,Mark Strahl,Conservative,British Columbia,Chilliwack—Fraser Canyon,British Columbia (Chilliwack—Fraser Canyon),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mark-strahl
Kerry-Lynne Findlay,Kerry-Lynne Findlay,Conservative,British Columbia,Delta—Richmond East,British Columbia (Delta—Richmond East),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kerry-lynne-findlay
Randall Garrison,Randall Garrison,NDP,British Columbia,Esquimalt—Juan de Fuca,British Columbia (Esquimalt—Juan de Fuca),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,randall-garrison
Nina Grewal,Nina Grewal,Conservative,British Columbia,Fleetwood—Port Kells,British Columbia (Fleetwood—Port Kells),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,nina-grewal
Cathy McLeod,Cathy McLeod,Conservative,British Columbia,Kamloops—Thompson—Cariboo,British Columbia (Kamloops—Thompson—Cariboo),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,cathy-mcleod
Ron Cannan,Ron Cannan,Conservative,British Columbia,Kelowna—Lake Country,British Columbia (Kelowna—Lake Country),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ron-cannan
David Wilks,David Wilks,Conservative,British Columbia,Kootenay—Columbia,British Columbia (Kootenay—Columbia),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,david-wilks
Mark Warawa,Mark Warawa,Conservative,British Columbia,Langley,British Columbia (Langley),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mark-warawa
James Lunney,James Lunney,Conservative,British Columbia,Nanaimo—Alberni,British Columbia (Nanaimo—Alberni),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,james-lunney
Jean Crowder,Jean Crowder,NDP,British Columbia,Nanaimo—Cowichan,British Columbia (Nanaimo—Cowichan),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jean-crowder
Fin Donnelly,Fin Donnelly,NDP,British Columbia,New Westminster—Coquitlam,British Columbia (New Westminster—Coquitlam),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,fin-donnelly
Jinny Sims,Jinny Sims,NDP,British Columbia,Newton—North Delta,British Columbia (Newton—North Delta),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jinny-sims
Andrew Saxton,Andrew Saxton,Conservative,British Columbia,North Vancouver,British Columbia (North Vancouver),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,andrew-saxton
Dan Albas,Dan Albas,Conservative,British Columbia,Okanagan—Coquihalla,British Columbia (Okanagan—Coquihalla),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dan-albas
Colin Mayes,Colin Mayes,Conservative,British Columbia,Okanagan—Shuswap,British Columbia (Okanagan—Shuswap),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,colin-mayes
Randy Kamp,Randy Kamp,Conservative,British Columbia,Pitt Meadows—Maple Ridge—Mission,British Columbia (Pitt Meadows—Maple Ridge—Mission),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,randy-kamp
James Moore,James Moore (Canadian politician),Conservative,British Columbia,Port Moody—Westwood—Port Coquitlam,British Columbia (Port Moody—Westwood—Port Coquitlam),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,james-moore
Bob Zimmer,Bob Zimmer,Conservative,British Columbia,Prince George—Peace River,British Columbia (Prince George—Peace River),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bob-zimmer
Alice Wong,Alice Wong,Conservative,British Columbia,Richmond,British Columbia (Richmond),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,alice-wong
Elizabeth May,Elizabeth May,Green,British Columbia,Saanich—Gulf Islands,British Columbia (Saanich—Gulf Islands),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,elizabeth-may
Russ Hiebert,Russ Hiebert,Conservative,British Columbia,South Surrey—White Rock—Cloverdale,British Columbia (South Surrey—White Rock—Cloverdale),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,russ-hiebert
Nathan Cullen,Nathan Cullen,NDP,British Columbia,Skeena—Bulkley Valley,British Columbia (Skeena—Bulkley Valley),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,nathan-cullen
Jasbir Sandhu,Jasbir Sandhu,NDP,British Columbia,Surrey North,British Columbia (Surrey North),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jasbir-sandhu
Hedy Fry,Hedy Fry,Liberal,British Columbia,Vancouver Centre,British Columbia (Vancouver Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,hedy-fry
Libby Davies,Libby Davies,NDP,British Columbia,Vancouver East,British Columbia (Vancouver East),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,libby-davies
John Duncan,John Duncan (Canadian politician),Conservative,British Columbia,Vancouver Island North,British Columbia (Vancouver Island North),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,john-duncan
Don Davies,Don Davies,NDP,British Columbia,Vancouver Kingsway,British Columbia (Vancouver Kingsway),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,don-davies
Joyce Murray,Joyce Murray,Liberal,British Columbia,Vancouver Quadra,British Columbia (Vancouver Quadra),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,joyce-murray
Wai Young,Wai Young,Conservative,British Columbia,Vancouver South,British Columbia (Vancouver South),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,wai-young
Denise Savoie,Denise Savoie,NDP,British Columbia,Victoria,British Columbia (Victoria),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2012-08-23,,denise-savoie
Murray Rankin,Murray Rankin,NDP,British Columbia,Victoria,British Columbia (Victoria),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2012-11-26,murray-rankin
John Weston,John Weston (politician),Conservative,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia (West Vancouver—Sunshine Coast—Sea to Sky Country),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,john-weston
Merv Tweed,Merv Tweed,Conservative,Manitoba,Brandon—Souris,Manitoba (Brandon—Souris),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2013-08-31,,merv-tweed
Larry Maguire,Larry Maguire,Conservative,Manitoba,Brandon—Souris,Manitoba (Brandon—Souris),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2013-11-25,larry-maguire
Steven Fletcher,Steven Fletcher (politician),Conservative,Manitoba,Charleswood—St. James—Assiniboia,Manitoba (Charleswood—St. James—Assiniboia),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,steven-fletcher
Niki Ashton,Niki Ashton,NDP,Manitoba,Churchill,Manitoba (Churchill),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,niki-ashton
Robert Sopuck,Robert Sopuck,Conservative,Manitoba,Dauphin—Swan River—Marquette,Manitoba (Dauphin—Swan River—Marquette),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,robert-sopuck
Lawrence Toet,Lawrence Toet,Conservative,Manitoba,Elmwood—Transcona,Manitoba (Elmwood—Transcona),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lawrence-toet
Joy Smith,Joy Smith,Conservative,Manitoba,Kildonan—St. Paul,Manitoba (Kildonan—St. Paul),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,joy-smith
Candice Bergen,Candice Bergen (politician),Conservative,Manitoba,Portage—Lisgar,Manitoba (Portage—Lisgar),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,candice-bergen
Vic Toews,Vic Toews,Conservative,Manitoba,Provencher,Manitoba (Provencher),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2013-07-09,,vic-toews
Ted Falk,Ted Falk,Conservative,Manitoba,Provencher,Manitoba (Provencher),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2013-11-25,ted-falk
Shelly Glover,Shelly Glover,Conservative,Manitoba,Saint Boniface,Manitoba (Saint Boniface),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,shelly-glover
James Bezan,James Bezan,Conservative,Manitoba,Selkirk—Interlake,Manitoba (Selkirk—Interlake),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,james-bezan
Pat Martin,Pat Martin,NDP,Manitoba,Winnipeg Centre,Manitoba (Winnipeg Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pat-martin
Kevin Lamoureux,Kevin Lamoureux,Liberal,Manitoba,Winnipeg North,Manitoba (Winnipeg North),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kevin-lamoureux
Rod Bruinooge,Rod Bruinooge,Conservative,Manitoba,Winnipeg South,Manitoba (Winnipeg South),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rod-bruinooge
Joyce Bateman,Joyce Bateman,Conservative,Manitoba,Winnipeg South Centre,Manitoba (Winnipeg South Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,joyce-bateman
Yvon Godin,Yvon Godin,NDP,New Brunswick,Acadie—Bathurst,New Brunswick (Acadie—Bathurst),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,yvon-godin
Dominic LeBlanc,Dominic LeBlanc,Liberal,New Brunswick,Beauséjour,New Brunswick (Beauséjour),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dominic-leblanc
Keith Ashfield,Keith Ashfield,Conservative,New Brunswick,Fredericton,New Brunswick (Fredericton),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,keith-ashfield
Rob Moore,Rob Moore (politician),Conservative,New Brunswick,Fundy Royal,New Brunswick (Fundy Royal),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rob-moore
Bernard Valcourt,Bernard Valcourt,Conservative,New Brunswick,Madawaska—Restigouche,New Brunswick (Madawaska—Restigouche),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bernard-valcourt
Tilly O'Neill-Gordon,Tilly O'Neill-Gordon,Conservative,New Brunswick,Miramichi,New Brunswick (Miramichi),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,tilly-o'neill-gordon
Robert Goguen,Robert Goguen,Conservative,New Brunswick,Moncton—Riverview—Dieppe,New Brunswick (Moncton—Riverview—Dieppe),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,robert-goguen
John Williamson,John Williamson (Canadian politician),Conservative,New Brunswick,New Brunswick Southwest,New Brunswick (New Brunswick Southwest),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,john-williamson
Rodney Weston,Rodney Weston,Conservative,New Brunswick,Saint John,New Brunswick (Saint John),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rodney-weston
Mike Allen,Mike Allen (Canadian politician),Conservative,New Brunswick,Tobique—Mactaquac,New Brunswick (Tobique—Mactaquac),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mike-allen
Scott Andrews,Scott Andrews (politician),Liberal,Newfoundland and Labrador,Avalon,Newfoundland and Labrador (Avalon),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,scott-andrews
Scott Simms,Scott Simms,Liberal,Newfoundland and Labrador,Bonavista—Gander—Grand Falls—Windsor,Newfoundland and Labrador (Bonavista—Gander—Grand Falls—Windsor),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,scott-simms
Gerry Byrne,Gerry Byrne (politician),Liberal,Newfoundland and Labrador,Humber—St. Barbe—Baie Verte,Newfoundland and Labrador (Humber—St. Barbe—Baie Verte),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gerry-byrne
Peter Penashue,Peter Penashue,Conservative,Newfoundland and Labrador,Labrador,Newfoundland and Labrador (Labrador),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2013-03-14,,peter-penashue
Yvonne Jones,Yvonne Jones,Liberal,Newfoundland and Labrador,Labrador,Newfoundland and Labrador (Labrador),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2013-05-13,yvonne-jones
Judy Foote,Judy Foote,Liberal,Newfoundland and Labrador,Random—Burin—St. George's,Newfoundland and Labrador (Random—Burin—St. George's),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,judy-foote
Jack Harris,Jack Harris (Newfoundland and Labrador politician),NDP,Newfoundland and Labrador,St. John's East,Newfoundland and Labrador (St. John's East),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jack-harris
Ryan Cleary,Ryan Cleary,NDP,Newfoundland and Labrador,St. John's South—Mount Pearl,Newfoundland and Labrador (St. John's South—Mount Pearl),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ryan-cleary
Rodger Cuzner,Rodger Cuzner,Liberal,Nova Scotia,Cape Breton—Canso,Nova Scotia (Cape Breton—Canso),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,rodger-cuzner
Peter MacKay,Peter MacKay,Conservative,Nova Scotia,Central Nova,Nova Scotia (Central Nova),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peter-mackay
Scott Armstrong,Scott Armstrong (politician),Conservative,Nova Scotia,Cumberland—Colchester—Musquodoboit Valley,Nova Scotia (Cumberland—Colchester—Musquodoboit Valley),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,scott-armstrong
Robert Chisholm,Robert Chisholm (Canadian politician),NDP,Nova Scotia,Dartmouth—Cole Harbour,Nova Scotia (Dartmouth—Cole Harbour),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,robert-chisholm
Megan Leslie,Megan Leslie,NDP,Nova Scotia,Halifax,Nova Scotia (Halifax),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,megan-leslie
Geoff Regan,Geoff Regan,Liberal,Nova Scotia,Halifax West,Nova Scotia (Halifax West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,geoff-regan
Scott Brison,Scott Brison,Liberal,Nova Scotia,Kings—Hants,Nova Scotia (Kings—Hants),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,scott-brison
Peter Stoffer,Peter Stoffer,NDP,Nova Scotia,Sackville—Eastern Shore,Nova Scotia (Sackville—Eastern Shore),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peter-stoffer
Gerald Keddy,Gerald Keddy,Conservative,Nova Scotia,South Shore—St. Margaret's,Nova Scotia (South Shore—St. Margaret's),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gerald-keddy
Mark Eyking,Mark Eyking,Liberal,Nova Scotia,Sydney—Victoria,Nova Scotia (Sydney—Victoria),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mark-eyking
Greg Kerr,Greg Kerr,Conservative,Nova Scotia,West Nova,Nova Scotia (West Nova),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,greg-kerr
Chris Alexander,Chris Alexander (politician),Conservative,Ontario,Ajax—Pickering,Ontario (Ajax—Pickering),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,chris-alexander
Carol Hughes,Carol Hughes,NDP,Ontario,Algoma—Manitoulin—Kapuskasing,Ontario (Algoma—Manitoulin—Kapuskasing),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,carol-hughes
David Sweet,David Sweet,Conservative,Ontario,Ancaster—Dundas—Flamborough—Westdale,Ontario (Ancaster—Dundas—Flamborough—Westdale),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,david-sweet
Patrick Brown,Patrick Brown (politician),Conservative,Ontario,Barrie,Ontario (Barrie),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2015-05-13,,patrick-brown
Matthew Kellway,Matthew Kellway,NDP,Ontario,Beaches—East York,Ontario (Beaches—East York),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,matthew-kellway
Bal Gosal,Bal Gosal,Conservative,Ontario,Bramalea—Gore—Malton,Ontario (Bramalea—Gore—Malton),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bal-gosal
Parm Gill,Parm Gill,Conservative,Ontario,Brampton—Springdale,Ontario (Brampton—Springdale),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,parm-gill
Kyle Seeback,Kyle Seeback,Conservative,Ontario,Brampton West,Ontario (Brampton West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kyle-seeback
Phil McColeman,Phil McColeman,Conservative,Ontario,Brant,Ontario (Brant),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,phil-mccoleman
Larry Miller,Larry Miller (Canadian politician),Conservative,Ontario,Bruce—Grey—Owen Sound,Ontario (Bruce—Grey—Owen Sound),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,larry-miller
Mike Wallace,Mike Wallace (politician),Conservative,Ontario,Burlington,Ontario (Burlington),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,mike-wallace
Gary Goodyear,Gary Goodyear,Conservative,Ontario,Cambridge,Ontario (Cambridge),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gary-goodyear
Gordon O'Connor,Gordon O'Connor,Conservative,Ontario,Carleton—Mississippi Mills,Ontario (Carleton—Mississippi Mills),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gordon-o'connor
Dave Van Kesteren,Dave Van Kesteren,Conservative,Ontario,Chatham-Kent—Essex,Ontario (Chatham-Kent—Essex),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,dave-van-kesteren
Andrew Cash,Andrew Cash,NDP,Ontario,Davenport,Ontario (Davenport),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,andrew-cash
Joe Daniel,Joe Daniel,Conservative,Ontario,Don Valley East,Ontario (Don Valley East),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,joe-daniel
John Carmichael,John Carmichael (politician),Conservative,Ontario,Don Valley West,Ontario (Don Valley West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,john-carmichael
David Tilson,David Tilson,Conservative,Ontario,Dufferin—Caledon,Ontario (Dufferin—Caledon),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,david-tilson
Bev Oda,Bev Oda,Conservative,Ontario,Durham,Ontario (Durham),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,2012-07-31,,bev-oda
Erin O'Toole,Erin O'Toole,Conservative,Ontario,Durham,Ontario (Durham),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,2012-11-26,erin-o'toole
Joe Oliver,Joe Oliver (politician),Conservative,Ontario,Eglinton—Lawrence,Ontario (Eglinton—Lawrence),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,joe-oliver
Joe Preston,Joe Preston (politician),Conservative,Ontario,Elgin—Middlesex—London,Ontario (Elgin—Middlesex—London),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,joe-preston
Jeff Watson,Jeff Watson (politician),Conservative,Ontario,Essex,Ontario (Essex),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,jeff-watson
Ted Opitz,Ted Opitz,Conservative,Ontario,Etobicoke Centre,Ontario (Etobicoke Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ted-opitz
Bernard Trottier,Bernard Trottier,Conservative,Ontario,Etobicoke—Lakeshore,Ontario (Etobicoke—Lakeshore),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bernard-trottier
Kirsty Duncan,Kirsty Duncan,Liberal,Ontario,Etobicoke North,Ontario (Etobicoke North),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,kirsty-duncan
Pierre Lemieux,Pierre Lemieux,Conservative,Ontario,Glengarry—Prescott—Russell,Ontario (Glengarry—Prescott—Russell),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,pierre-lemieux
Frank Valeriote,Frank Valeriote,Liberal,Ontario,Guelph,Ontario (Guelph),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,frank-valeriote
Diane Finley,Diane Finley,Conservative,Ontario,Haldimand—Norfolk,Ontario (Haldimand—Norfolk),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,diane-finley
Barry Devolin,Barry Devolin,Conservative,Ontario,Haliburton—Kawartha Lakes—Brock,Ontario (Haliburton—Kawartha Lakes—Brock),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,barry-devolin
Lisa Raitt,Lisa Raitt,Conservative,Ontario,Halton,Ontario (Halton),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,lisa-raitt
David Christopherson,David Christopherson,NDP,Ontario,Hamilton Centre,Ontario (Hamilton Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,david-christopherson
Wayne Marston,Wayne Marston,NDP,Ontario,Hamilton East—Stoney Creek,Ontario (Hamilton East—Stoney Creek),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,wayne-marston
Chris Charlton,Chris Charlton,NDP,Ontario,Hamilton Mountain,Ontario (Hamilton Mountain),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,chris-charlton
Ben Lobb,Ben Lobb,Conservative,Ontario,Huron—Bruce,Ontario (Huron—Bruce),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ben-lobb
Greg Rickford,Greg Rickford,Conservative,Ontario,Kenora,Ontario (Kenora),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,greg-rickford
Ted Hsu,Ted Hsu,Liberal,Ontario,Kingston and the Islands,Ontario (Kingston and the Islands),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ted-hsu
Stephen Woodworth,Stephen Woodworth (politician),Conservative,Ontario,Kitchener Centre,Ontario (Kitchener Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,stephen-woodworth
Harold Albrecht,Harold Albrecht,Conservative,Ontario,Kitchener—Conestoga,Ontario (Kitchener—Conestoga),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,harold-albrecht
Peter Braid,Peter Braid,Conservative,Ontario,Kitchener—Waterloo,Ontario (Kitchener—Waterloo),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,peter-braid
Bev Shipley,Bev Shipley,Conservative,Ontario,Lambton—Kent—Middlesex,Ontario (Lambton—Kent—Middlesex),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,bev-shipley
Scott Reid,Scott Reid (Canadian politician),Conservative,Ontario,Lanark—Frontenac—Lennox and Addington,Ontario (Lanark—Frontenac—Lennox and Addington),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,scott-reid
Gord Brown,Gord Brown,Conservative,Ontario,Leeds—Grenville,Ontario (Leeds—Grenville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,gord-brown
Irene Mathyssen,Irene Mathyssen,NDP,Ontario,London—Fanshawe,Ontario (London—Fanshawe),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,irene-mathyssen
Susan Truppe,Susan Truppe,Conservative,Ontario,London North Centre,Ontario (London North Centre),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,susan-truppe
Ed Holder,Ed Holder,Conservative,Ontario,London West,Ontario (London West),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,ed-holder
John McCallum,John McCallum,Liberal,Ontario,Markham—Unionville,Ontario (Markham—Unionville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,john-mccallum
Eve Adams,Eve Adams,Conservative,Ontario,Mississauga—Brampton South,Ontario (Mississauga—Brampton South),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,eve-adams
Wladyslaw Lizon,Wladyslaw Lizon,Conservative,Ontario,Mississauga East—Cooksville,Ontario (Mississauga East—Cooksville),41,https://en.wikipedia.org/wiki/List_of_House_members_of_the_41st_Parliament_of_Canada,,,wladyslaw-lizon
