id,name,image,given_name,family_name,sort_name,birth_date,gender,house,start_date,state,district,party,homepage,address,phone,fax,term,area_id,identifier__bioguide,identifier__thomas,identifier__lis,identifier__govtrack,identifier__opensecrets,identifier__votesmart,identifier__fec,identifier__cspan,identifier__wikipedia,identifier__house_history,identifier__ballotpedia,identifier__maplight,identifier__washington_post,identifier__icpsr,end_date
K000148,John F. Kerry,https://theunitedstates.io/images/congress/original/K000148.jpg,John,Kerry,"Kerry, John",1943-12-11,male,sen,2015-01-06,MA,,Democrat,http://www.kerry.senate.gov,218 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2742,202-224-8525,111,ocd-division/country:us/state:ma,K000148,01379,S173,300060,N00000245,53306,S4MA00069,1485,John Kerry,,,581,,14920,2011-01-03
L000123,Frank R. Lautenberg,https://theunitedstates.io/images/congress/original/L000123.jpg,Frank,Lautenberg,"Lautenberg, Frank",1924-01-23,male,sen,2015-01-06,NJ,,Democrat,http://www.lautenberg.senate.gov,141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-3224,202-228-4054,111,ocd-division/country:us/state:nj,L000123,01381,S166,300064,N00000659,53324,S2NJ00080,2515,Frank Lautenberg,,,585,,14914,2011-01-03
C001099,William M. Cowan,https://theunitedstates.io/images/congress/original/C001099.jpg,William,Cowan,"Cowan, William",1969-04-04,male,sen,2015-01-06,MA,,Democrat,http://www.cowan.senate.gov,218 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,202-224-2742,,113,ocd-division/country:us/state:ma,C001099,02189,S367,412586,N99999896,144307,,69395,Mo Cowan,,Mo Cowan,2044,,,2013-07-16
C001100,Jeff Chiesa,https://theunitedstates.io/images/congress/original/C001100.jpg,Jeffrey,Chiesa,"Chiesa, Jeffrey",1965-06-22,male,sen,2015-01-06,NJ,,Republican,http://www.chiesa.senate.gov,141 HART WASHINGTON DC 20510,202-224-3224,202-224-7981,113,ocd-division/country:us/state:nj,C001100,02192,S368,412597,,144672,,64996,Jeffrey Chiesa,,Jeff Chiesa,2048,,,2013-10-31
B000243,Max Baucus,https://theunitedstates.io/images/congress/original/B000243.jpg,Max,Baucus,"Baucus, Max",1941-12-11,male,sen,2015-01-06,MT,,Democrat,http://www.baucus.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-2651,202-224-0515,111,ocd-division/country:us/state:mt,B000243,00066,S127,300005,N00004643,53315,S8MT00010,1727,Max Baucus,9092,Max Baucus,533,gIQAiQCM9O,14203,2011-01-03
B001265,Mark Begich,https://theunitedstates.io/images/congress/original/B001265.jpg,Mark,Begich,"Begich, Mark",1962-03-30,male,sen,2015-01-06,AK,,Democrat,http://www.begich.senate.gov,111 Russell Senate Office Building Washington DC 20510,202-224-3004,202-224-2354,111,ocd-division/country:us/state:ak,B001265,01898,S319,412326,N00029901,79426,S8AK00090,1030732,Mark Begich,,Mark Begich,808,gIQAlYCM9O,40900,2011-01-03
C000286,Saxby Chambliss,https://theunitedstates.io/images/congress/original/C000286.jpg,Saxby,Chambliss,"Chambliss, Saxby",1943-11-10,male,sen,2015-01-06,GA,,Republican,http://www.chambliss.senate.gov,416 Russell Senate Office Building Washington DC 20510,202-224-3521,202-224-0103,111,ocd-division/country:us/state:ga,C000286,00188,S290,300021,N00002685,22029,S2GA00118,36571,Saxby Chambliss,10813,Saxby Chambliss,547,gIQAu71kDP,29512,2011-01-03
H001049,Kay R. Hagan,https://theunitedstates.io/images/congress/original/H001049.jpg,Kay,Hagan,"Hagan, Kay",1953-05-26,female,sen,2015-01-06,NC,,Democrat,http://www.hagan.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6342,202-228-2563,111,ocd-division/country:us/state:nc,H001049,01902,S320,412324,N00029617,21082,S8NC00239,1028015,Kay Hagan,15594,Kay Hagan,806,gIQA2GXW9O,40907,2011-01-03
H000206,Tom Harkin,https://theunitedstates.io/images/congress/original/H000206.jpg,Thomas,Harkin,"Harkin, Thomas",1939-11-19,male,sen,2015-01-06,IA,,Democrat,http://www.harkin.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-3254,202-224-9369,111,ocd-division/country:us/state:ia,H000206,00501,S172,300051,N00004207,53294,S4IA00020,2005,Tom Harkin,14542,Tom Harkin,573,gIQAVDE09O,14230,2011-01-03
J000177,Tim Johnson,https://theunitedstates.io/images/congress/original/J000177.jpg,Tim,Johnson,"Johnson, Tim",1946-12-28,male,sen,2015-01-06,SD,,Democrat,http://www.johnson.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-5842,202-228-5765,111,ocd-division/country:us/state:sd,J000177,00604,S257,300058,N00010084,27067,S6SD00051,2545,Tim Johnson (U.S. Senator),15920,"Tim Johnson, South Dakota",579,gIQACSr09O,15425,2011-01-03
L000550,Mary L. Landrieu,https://theunitedstates.io/images/congress/original/L000550.jpg,Mary,Landrieu,"Landrieu, Mary",1955-11-23,female,sen,2015-01-06,LA,,Democrat,http://www.landrieu.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-5824,202-224-9735,111,ocd-division/country:us/state:la,L000550,01546,S258,300063,N00005395,661,S6LA00227,22357,Mary Landrieu,17280,Mary Landrieu,584,gIQAi61x9O,49702,2011-01-03
L000261,Carl Levin,https://theunitedstates.io/images/congress/original/L000261.jpg,Carl,Levin,"Levin, Carl",1934-06-28,male,sen,2015-01-06,MI,,Democrat,http://www.levin.senate.gov,269 Russell Senate Office Building Washington DC 20510,202-224-6221,202-224-1388,111,ocd-division/country:us/state:mi,L000261,01384,S131,300066,N00001691,53307,S8MI00158,2592,Carl Levin,,Carl Levin,587,gIQA5NHW9O,14709,2011-01-03
P000590,Mark L. Pryor,https://theunitedstates.io/images/congress/original/P000590.jpg,Mark,Pryor,"Pryor, Mark",1963-01-10,male,sen,2015-01-06,AR,,Democrat,http://www.pryor.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2353,202-228-0908,111,ocd-division/country:us/state:ar,P000590,01701,S295,300080,N00013823,35,S0AR00028,1002201,Mark Pryor,,Mark Pryor,599,gIQAHnsz9O,40301,2011-01-03
R000361,"John D. Rockefeller, IV",https://theunitedstates.io/images/congress/original/R000361.jpg,John,Rockefeller,"Rockefeller, John",1937-06-18,male,sen,2015-01-06,WV,,Democrat,http://www.rockefeller.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6472,202-224-7665,111,ocd-division/country:us/state:wv,R000361,01424,S176,300084,N00001685,53360,S4WV00027,1238,Jay Rockefeller,,Jay Rockefeller,603,gIQAElxz9O,14922,2011-01-03
U000038,Mark Udall,https://theunitedstates.io/images/congress/original/U000038.jpg,Mark,Udall,"Udall, Mark",1950-07-18,male,sen,2015-01-06,CO,,Democrat,http://www.markudall.senate.gov,730 Hart Senate Office Building Washington DC 20510,202-224-5941,202-226-7840,111,ocd-division/country:us/state:co,U000038,01595,S325,400412,N00008051,12329,H8CO02087,7634,Mark Udall,20877,Mark Udall,497,gIQAz6eM9O,29906,2011-01-03
C000560,Tom Coburn,https://theunitedstates.io/images/congress/original/C000560.jpg,Thomas,Coburn,"Coburn, Thomas",1948-03-14,male,sen,2015-01-06,OK,,Republican,http://www.coburn.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-5754,202-224-6008,112,ocd-division/country:us/state:ok,C000560,00212,S301,400576,N00005601,22085,S4OK00174,36751,Tom Coburn,11151,Tom Coburn,623,gIQAvIQV9O,29555,2013-01-03
W000818,John E. Walsh,https://theunitedstates.io/images/congress/original/W000818.jpg,John,Walsh,"Walsh, John",1960-11-03,male,sen,2015-01-06,MT,,Democrat,http://www.walsh.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-2651,,113,ocd-division/country:us/state:mt,W000818,02198,S371,412602,N00035686,111027,S4MT00118,73846,John Walsh (U.S. Senator),,,2055,,,2015-01-03
J000291,Mike Johanns,https://theunitedstates.io/images/congress/original/J000291.jpg,Mike,Johanns,"Johanns, Mike",1950-06-18,male,sen,2015-01-06,NE,,Republican,http://www.johanns.senate.gov,404 Russell Senate Office Building Washington DC 20510,202-224-4224,202-228-0436,111,ocd-division/country:us/state:ne,J000291,01899,S321,412320,N00029444,21309,S8NE00117,56552,Mike Johanns,,Mike Johanns,802,gIQAcVOr9O,40905,2011-01-03
