name,wikiname,area,religion,group,party_wikiname,term,source,id,name__en,name__ar,name__es,name__de,name__fr,name__nl,wikipedia__ar,wikipedia__en,gender,name__pl,wikipedia__de,wikipedia__fr,wikipedia__pl,birth_date,identifier__freebase,given_name,name__it,name__ja,wikipedia__ja,image,identifier__viaf,name__he,wikipedia__he,death_date,name__mg,wikipedia__mg,name__zh_hans,name__zh_hant,name__zh_hk,name__zh_cn,name__zh_sg,name__zh_tw,name__yo,name__ms,name__id,name__el,name__sv,name__pt,name__ru,name__tr,name__ca,name__fi,name__nn,name__frp,name__bg,name__nb,name__zh,name__pam,name__scn,wikipedia__bg,wikipedia__ca,wikipedia__commons,wikipedia__el,wikipedia__es,wikipedia__fi,wikipedia__frp,wikipedia__id,wikipedia__it,wikipedia__itwikiquote,wikipedia__ms,wikipedia__nl,wikipedia__nn,wikipedia__no,wikipedia__pam,wikipedia__pt,wikipedia__ru,wikipedia__scn,wikipedia__simple,wikipedia__sv,wikipedia__tr,wikipedia__yo,wikipedia__zh,identifier__sudoc,identifier__munzinger,name__yi,name__hy,name__la,name__sl,name__fa,wikipedia__fa,wikipedia__hy,wikipedia__la,wikipedia__sl,wikipedia__yi,identifier__isni,identifier__gnd,identifier__lcauth,identifier__bnf,identifier__nli,name__arz,name__cs,wikipedia__arz,name__oc,name__gl,name__io,name__sh,name__hu,name__et,name__pt_br,wikipedia__cs,wikipedia__et,wikipedia__gl,wikipedia__hu,wikipedia__io,wikipedia__oc,wikipedia__sh,website,name__eu,name__eo,name__th,wikipedia__eo,wikipedia__eu,wikipedia__th,name__cy,wikipedia__cy,wikipedia__enwikiquote,identifier__imdb,name__br,wikipedia__br,family_name,name__en_ca,name__en_gb,name__ko,name__vi,name__uk,name__ie,wikipedia__ie,wikipedia__ko,wikipedia__uk,wikipedia__vi
Nabih Berri,Nabih Berri,Zahrani,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q704220,Nabih Berri,نبيه بري,Nabih Berri,Nabih Berri,Nabih Berri,Nabih Berri,نبيه بري,Nabih Berri,male,Nabih Berri,Nabih Berri,Nabih Berri,Nabih Berri,1938-01-28,/m/02tb0g,Nabih,Nabih Berri,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Nabih_Berri.jpg,78827217,נביה ברי,נביה ברי,,,,,,,,,,,,Nabih Berri,,,,"Берри, Набих",Nebih Berri,,,,,,,,,,,,,,,,,Nabih Berri,Nabih Berri,,,Nabih Berri,,,,,"Берри, Набих",,,,Nebih Berri,,,154129534,00000017349,,,Nabih Berri,,نبیه بری,نبیه بری,,Nabih Berri,,,0000 0000 6689 2209,13417285X,n88251036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Osseiran,Ali Osseiran,Zahrani,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2836318,Ali Osseiran,علي عسيران,,Ali Osseiran,Ali Osseiran,Ali Osseiran,علي عسيران,Ali Osseiran,male,,,Ali Osseiran,,1947-01-01,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Moussa,Michel Moussa,Zahrani,Greek Catholic,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3310429,Michel Moussa,ميشال موسى,Michel Moussa,Michel Moussa,Michel Moussa,Michel Moussa,ميشال موسى,Michel Moussa,male,Michel Musa,,Michel Moussa,Michel Musa,,/m/0809xhz,Michel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Khreis,Ali Khreis,Sour,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2943512,Ali Khreis,علي خريس,Ali Khreis,Ali Khreis,Ali Khreiss,Ali Khreis,علي خريس,Ali Khreis,male,,,Ali Khreiss,,1957-01-01,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdelmajid Saleh,Abdelmajid Saleh,Sour,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2912332,Abdelmajid Saleh,عبد المجيد صالح,Abdelmajid Saleh,Abdelmajid Saleh,Abdelmajid Saleh,Abdelmajid Saleh,عبد المجيد صالح,Abdelmajid Saleh,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Fneish,Mohammad Fneish,Sour,Shia,Hezbollah,Loyalty to the Resistance Bloc,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nawwaf Moussawi,Nawwaf Moussawi,Sour,Shia,Hezbollah,Loyalty to the Resistance Bloc,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q12249076,Nawwaf Moussawi,نواف الموسوي,,Nawwaf Moussawi,,,نواف الموسوي,Nawwaf Moussawi,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziad Aswad,"",Jezzine,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Helou,"",Jezzine,Maronite,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issam Sawaya,"",Jezzine,Greek Catholic,Free Patriotic Movement,Free Patriotic Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Ahmad Bazzi,Ali Ahmad Bazzi,Bint Jbeil,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q4724565,Ali Ahmad Bazzi,علي أحمد بزي,,Ali Ahmad Bazzi,Ali Bazzi,Ali Ahmad Bazzi,علي أحمد بزي,Ali Ahmad Bazzi,male,,,Ali Bazzi,,1958-01-01,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayoub Hmayed,Ayoub Hmayed,Bint Jbeil,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2875006,Ayoub Hmayed,أيوب حميد,Ayoub Hmayed,Ayoub Hmayed,Ayoub Hmayed,Ayoub Hmayed,أيوب حميد,Ayoub Hmayed,male,Ajub Hmajed,,Ayoub Hmayed,Ajub Hmajed,1954-01-01,/m/0808_8q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Fadlallah,Hassan Fadlallah,Bint Jbeil,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2943507,Hassan Fadlallah,حسن فضل الله,Hassan Fadlallah,Hassan Fadlallah,Hassan Fadlallah,Hassan Fadlallah,حسن فضل الله,Hassan Fadlallah,male,,,Hassan Fadlallah,,1967-01-01,/m/0808dzl,Hassan,,,,,44199474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdellatif Zein,Abdellatif Zein,Nabatieh,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yassine Jaber,Yassine Jaber,Nabatieh,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2912345,Yassine Jaber,ياسين جابر,Yassine Jaber,Yassine Jaber,Yassine Jaber,,ياسين جابر,Yassine Jaber,male,,,Yassine Jaber,,1951-01-01,,Yassine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Raad,Mohammad Raad,Nabatieh,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3318951,Mohammad Raad,محمد رعد,,Mohammad Raad,Mohammad Raad,Mohammad Raad,محمد رعد,Mohammad Raad,male,Mohammad Raad,,Mohammad Raad,Mohammad Raad,1955-01-01,/m/080njhy,Mohammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Hassan Khalil,Ali Hassan Khalil,Hasbaya/Marjeyoun,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2836246,Ali Hassan Khalil,علي حسن خليل,,Ali Hassan Khalil,Ali Hassan Khalil,Ali Hassan Khalil,علي حسن خليل,Ali Hassan Khalil,male,Ali Hassan Chalil,,Ali Hassan Khalil,Ali Hassan Chalil,1964-01-01,/m/080dqmc,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Fayyad,Ali Fayyad,Hasbaya/Marjeyoun,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2943737,Ali Fayyad,علي فياض,Ali Fayyad,Ali Fayyad,,Ali Fayyad,علي فياض (نائب),Ali Fayyad,male,,,,,,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anwar Khalil,Anwar Khalil,Hasbaya/Marjeyoun,Druz,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2852389,Anwar Khalil,أنور الخليل,,Anwar Khalil,Anouar el-Khalil,,أنور الخليل,Anwar Khalil,male,Anwar al-Chalil,,Anouar el-Khalil,Anwar al-Chalil,1938-01-01,/m/080fhtv,Anwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kassem Hachem,"",Hasbaya/Marjeyoun,Sunni,Arab Socialist Ba'ath Party of Lebanon,Arab Socialist Ba'ath Party of Lebanon,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assaad Hardan,Assaad Hardan,Hasbaya/Marjeyoun,Greek Orthodox,Syrian Social Nationalist Party,Syrian Social Nationalist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2866926,Assaad Hardan,أسعد حردان,Assaad Hardan,Assaad Hardan,Assaad Hardan,Assaad Hardan,أسعد حردان,Assaad Hardan,male,Assad Hardan,Assaad Hardan,Assaad Hardan,Assad Hardan,1951-07-31,/m/0gfds0c,,,,,https://upload.wikimedia.org/wikipedia/commons/f/f2/Assaad_Hardan.JPG,,,,,,,,,,,,,,,,,,,Асаад Хардан,,,,,,Асад Хардан,,,,,Асад Хардан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Jarrah,"",West Beqaa/Rashaya,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziad el Kadiri,"",West Beqaa/Rashaya,Sunni,Future Movement,Future Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amine Wehbeh,"",West Beqaa/Rashaya,Shia,Democratic Left Movement,Democratic Left Movement (Lebanon),2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wael Abou Faour,Wael Abou Faour,West Beqaa/Rashaya,Druz,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3566888,Wael Abou Faour,وائل أبو فاعور,Wael Abou Faour,Wael Abou Faour,Waël Abou Faour,Wael Abou Faour,وائل أبو فاعور,Wael Abou Faour,male,Wael Abu Faour,,Waël Abou Faour,Wael Abu Faour,1972-01-01,/m/03cp1f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Saad,"",West Beqaa/Rashaya,Greek Orthodox,Progressive Socialist Party,Progressive Socialist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Ghanem,Robert Ghanem,West Beqaa/Rashaya,Maronite,Independent within March 14,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3435215,Robert Ghanem,روبير إسكندر غانم,,Robert Ghanem,Robert Ghanem,Robert Ghanem,روبير إسكندر غانم,Robert Ghanem,male,Robert Ghanem,,Robert Ghanem,Robert Ghanem,1942-01-01,,Robert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Fattouche,"",Zahlé,Greek Catholic,Zahle In our Hearts Bloc,Zahlé,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Abou Khater,"",Zahlé,Greek Catholic,Lebanese Forces and Zahle Block,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Maalouf,"",Zahlé,Greek Orthodox,Lebanese Forces and Zahle Block,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shant Chinchinian / Jinjinian,"",Zahlé,Armenian Orthodox,Lebanese Forces and Zahle Block,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elie Marouni,"",Zahlé,Maronite,Kataeb and Zahle Block,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assem Araji,"",Zahlé,Sunni,Lebanon first and Zahle Block,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okab Sakr,Okab Sakr,Zahlé,Shia,Lebanon first and Zahle Bloc,"",2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3349997,Okab Sakr,عقاب صقر,Okab Sakr,Okab Sakr,Okab Sakr,Okab Sakr,عقاب صقر,Okab Sakr,male,,,Okab Sakr,,1975-10-02,,,Okab Sakr or Oakab Saker,,,https://upload.wikimedia.org/wikipedia/commons/e/e2/Okab_Sakr.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussein Moussawi,Hussein Moussawi,Baalbeck/Hermil,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2943715,Hussein Moussawi,حسين الموسوي,Hussein Moussawi,Hussein Moussawi,,Hussein Moussawi,حسين الموسوي (نائب),Hussein Moussawi,male,,,,,,,Hussein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussein el Hage Hassan,Hussein el Hage Hassan,Baalbeck/Hermil,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nawwar el Sahili,Nawwar el Sahili,Baalbeck/Hermil,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Mekdad,Ali Mekdad,Baalbeck/Hermil,Shia,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2836294,Ali Mekdad,علي المقداد,,Ali Mekdad,Ali Mekdad,Ali Mekdad,علي المقداد (نائب),Ali Mekdad,male,,,Ali Mekdad,,1961-01-01,,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghazi Zaiter,Ghazi Zaiter,Baalbeck/Hermil,Shia,Amal Movement,Amal Movement,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2943722,Ghazi Zaiter,غازي زعيتر,Ghazi Zaiter,Ghazi Zaiter,,Ghazi Zaiter,غازي زعيتر,Ghazi Zaiter,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assem Qanso,Assem Qanso,Baalbeck/Hermil,Shia,Arab Socialist Ba'ath Party of Lebanon,Arab Socialist Ba'ath Party of Lebanon,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q2867013,Assem Qanso,عاصم قانصوه,Assem Qanso,Assem Qanso,Assem Qanso,Assem Qanso,عاصم قانصوه,Assem Qanso,male,Assem Kanso,,Assem Qanso,Assem Kanso,1937-01-01,/m/07n4x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assem Qanso,,,,Category:Assem Qanso,,,,,,,,,,,,Assem Qanso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elwalid Succariyeh,Elwalid Succariyeh,Baalbeck/Hermil,Sunni,Hezbollah,Hezbollah,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q5368272,Elwalid Succariyeh,الوليد سكرية,,Elwalid Succariyeh,,,الوليد سكرية,Elwalid Succariyeh,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamel Rifaii,"",Baalbeck/Hermil,Sunni,Islamic Action Front,Islamic Action Front,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marwan Fares,Marwan Fares,Baalbeck/Hermil,Greek Catholic,Syrian Social Nationalist Party,Syrian Social Nationalist Party,2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q3296101,Marwan Fares,مروان فارس,,Marwan Fares,Marwan Fares,Marwan Fares,مروان فارس,Marwan Fares,male,Marwan Fares,,Marwan Fares,Marwan Fares,1947-01-01,/m/0glqznj,Marwan,,,,,32237786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emile Rahme,Emile Rahme,Baalbeck/Hermil,Maronite,Solidarity Party,Solidarity Party (Lebanon),2009,https://en.wikipedia.org/wiki/Members_of_the_2009%E2%80%9317_Lebanese_Parliament,Q5371591,Emile Rahme,إميل رحمة,,Emile Rahme,,,إميل رحمة,Emile Rahme,male,,,,,,,Emile,Emile Rahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
